rank_title,google_volume,naver_trend_sum,naver_daily_ratio,google_absolute_volume,google_surge_ratio
액스비스,"100+
arrow_upward
100%",165.41,"[{'period': '2026-02-17', 'ratio': 2.26501}, {'period': '2026-02-18', 'ratio': 3.66312}, {'period': '2026-02-19', 'ratio': 20.58617}, {'period': '2026-02-20', 'ratio': 27.05289}, {'period': '2026-02-21', 'ratio': 10.93035}, {'period': '2026-02-22', 'ratio': 14.44038}, {'period': '2026-02-23', 'ratio': 86.47631}]",100.0,100.0
신영자,"1천+
arrow_upward
300%",104.36,"[{'period': '2026-02-17', 'ratio': 0.60498}, {'period': '2026-02-18', 'ratio': 0.51645}, {'period': '2026-02-19', 'ratio': 0.36705}, {'period': '2026-02-20', 'ratio': 0.249}, {'period': '2026-02-21', 'ratio': 46.39036}, {'period': '2026-02-22', 'ratio': 35.15751}, {'period': '2026-02-23', 'ratio': 21.07127}]",1000.0,300.0
공주대,"100+
arrow_upward
200%",14.71,"[{'period': '2026-02-17', 'ratio': 1.1823}, {'period': '2026-02-18', 'ratio': 1.25977}, {'period': '2026-02-19', 'ratio': 2.49557}, {'period': '2026-02-20', 'ratio': 3.30714}, {'period': '2026-02-21', 'ratio': 1.69138}, {'period': '2026-02-22', 'ratio': 1.8334}, {'period': '2026-02-23', 'ratio': 2.94009}]",100.0,200.0
노보노디스크,"200+
arrow_upward
200%",26.79,"[{'period': '2026-02-17', 'ratio': 1.77807}, {'period': '2026-02-18', 'ratio': 2.45499}, {'period': '2026-02-19', 'ratio': 2.8202}, {'period': '2026-02-20', 'ratio': 2.74642}, {'period': '2026-02-21', 'ratio': 1.98649}, {'period': '2026-02-22', 'ratio': 0.89088}, {'period': '2026-02-23', 'ratio': 14.11022}]",200.0,200.0
에어로케이,"2천+
arrow_upward
300%",270.45,"[{'period': '2026-02-17', 'ratio': 17.44687}, {'period': '2026-02-18', 'ratio': 22.59111}, {'period': '2026-02-19', 'ratio': 100}, {'period': '2026-02-20', 'ratio': 40.46591}, {'period': '2026-02-21', 'ratio': 27.21336}, {'period': '2026-02-22', 'ratio': 29.90261}, {'period': '2026-02-23', 'ratio': 32.8261}]",2000.0,300.0
장학재단,"500+
arrow_upward
200%",2.97,"[{'period': '2026-02-17', 'ratio': 0.1457}, {'period': '2026-02-18', 'ratio': 0.17662}, {'period': '2026-02-19', 'ratio': 0.69483}, {'period': '2026-02-20', 'ratio': 0.6529}, {'period': '2026-02-21', 'ratio': 0.22954}, {'period': '2026-02-22', 'ratio': 0.2158}, {'period': '2026-02-23', 'ratio': 0.85084}]",500.0,200.0
동아대,"200+
arrow_upward
100%",7.92,"[{'period': '2026-02-17', 'ratio': 0.59311}, {'period': '2026-02-18', 'ratio': 0.61785}, {'period': '2026-02-19', 'ratio': 1.24396}, {'period': '2026-02-20', 'ratio': 2.01164}, {'period': '2026-02-21', 'ratio': 0.93537}, {'period': '2026-02-22', 'ratio': 0.77111}, {'period': '2026-02-23', 'ratio': 1.7491}]",200.0,100.0
달러 환율,"200+
arrow_upward
75%",465.4,"[{'period': '2026-02-17', 'ratio': 46.32344}, {'period': '2026-02-18', 'ratio': 54.71089}, {'period': '2026-02-19', 'ratio': 100}, {'period': '2026-02-20', 'ratio': 87.78032}, {'period': '2026-02-21', 'ratio': 46.52206}, {'period': '2026-02-22', 'ratio': 36.02606}, {'period': '2026-02-23', 'ratio': 94.03448}]",200.0,75.0
우리기술,"100+
arrow_upward
300%",242.38,"[{'period': '2026-02-17', 'ratio': 5.84042}, {'period': '2026-02-18', 'ratio': 7.91255}, {'period': '2026-02-19', 'ratio': 47.69248}, {'period': '2026-02-20', 'ratio': 69.6776}, {'period': '2026-02-21', 'ratio': 13.9028}, {'period': '2026-02-22', 'ratio': 13.5736}, {'period': '2026-02-23', 'ratio': 83.77834}]",100.0,300.0
주식,"200+
arrow_upward
100%",132.09,"[{'period': '2026-02-17', 'ratio': 7.13593}, {'period': '2026-02-18', 'ratio': 8.71184}, {'period': '2026-02-19', 'ratio': 34.14843}, {'period': '2026-02-20', 'ratio': 33.67559}, {'period': '2026-02-21', 'ratio': 9.43073}, {'period': '2026-02-22', 'ratio': 6.02118}, {'period': '2026-02-23', 'ratio': 32.97114}]",200.0,100.0
